CNAE	Setor / Indústria	Categoria
6920-6/01	Jurídicas e de Contabilidade	Serviços
6920-6/02	Consultoria	Serviços
7020-4/00	Consultoria	Serviços
7111-1/00	Consultoria	Serviços
7112-0/00	Consultoria	Serviços
7119-7/01	Engenharia	Serviços
7119-7/02	Engenharia	Serviços
7119-7/03	Engenharia	Serviços
7119-7/04	Engenharia	Serviços
7119-7/99	Engenharia	Serviços
7120-1/00	Engenharia	Serviços
7210-0/00	Pesquisa e Desenvolv.	Serviços
7220-7/00	Pesquisa e Desenvolv.	Serviços
7311-4/00	Publicidade e Marketing	Serviços
7312-2/00	Publicidade e Marketing	Serviços
7319-0/01	Publicidade e Marketing	Serviços
7319-0/02	Publicidade e Marketing	Serviços
7319-0/03	Publicidade e Marketing	Serviços
7319-0/04	Publicidade e Marketing	Serviços
7319-0/99	Publicidade e Marketing	Serviços
7320-3/00	Pesquisas de Mercado	Serviços
7410-2/03	Design	Serviços
7410-2/99	Design	Serviços
7410-2/02	Design	Serviços
7420-0/01	Produção Audiovisual	Serviços
7420-0/02	Produção Audiovisual	Serviços
7420-0/03	Produção Audiovisual	Serviços
7420-0/04	Produção Audiovisual	Serviços
7420-0/05	Produção Audiovisual	Serviços
7490-1/01	Consultoria	Serviços
7490-1/02	Serviços Profissionais	Serviços
7490-1/03	Serviços Profissionais	Serviços
7490-1/04	Serviços Profissionais	Serviços
7490-1/05	Serviços Profissionais	Serviços
7490-1/99	Serviços Profissionais	Serviços
7500-1/00	Veterinária	Serviços
7711-0/00	Locação de Veículos	Serviços
7719-5/01	Locação de Equipamentos	Serviços
7719-5/02	Locação de Equipamentos	Serviços
7719-5/99	Locação de Equipamentos	Serviços
7721-7/00	Locação de Equipamentos	Serviços
7722-5/00	Locação de Equipamentos	Serviços
7723-3/00	Locação de Equipamentos	Serviços
7729-2/01	Locação de Equipamentos	Serviços
7729-2/02	Locação de Equipamentos	Serviços
7729-2/03	Locação de Equipamentos	Serviços
7729-2/99	Locação de Equipamentos	Serviços
7731-4/00	Agricultura	Serviços Diretos
7732-2/01	Construção Civil	Serviços
7732-2/02	Construção Civil	Serviços
7733-1/00	Locação de Equipamentos	Serviços
7739-0/01	Locação de Equipamentos	Serviços
7739-0/02	Locação de Equipamentos	Serviços
7739-0/03	Locação de Equipamentos	Serviços
7739-0/99	Locação de Equipamentos	Serviços
7740-3/00	Serviços Profissionais	Serviços
7810-8/00	Locação de Mão-de-Obra	Serviços
7820-5/00	Locação de Mão-de-Obra	Serviços
7830-2/00	Serviços Profissionais	Serviços
7911-2/00	Turismo	Serviços
7912-1/00	Turismo	Serviços
7990-2/00	Turismo	Serviços
8011-1/01	Segurança Privada	Serviços
8011-1/02	Segurança Privada	Serviços
8012-9/00	Segurança Privada	Serviços
8020-0/01	Segurança Eletrônica	Serviços
8020-0/02	Segurança Eletrônica	Serviços
8030-7/00	Investigação Particular	Serviços
8111-7/00	Apoio a Edifícios	Serviços
8112-5/00	Apoio a Edifícios	Serviços
8121-4/00	Limpeza	Serviços
8122-2/00	Limpeza	Serviços
8129-0/00	Limpeza	Serviços
8130-3/00	Paisagismo	Serviços
8211-3/00	Escritório e Administração	Serviços
8219-9/01	Escritório e Administração	Serviços
8219-9/99	Escritório e Administração	Serviços
8220-2/00	Escritório e Administração	Serviços
8230-0/01	Organização de Eventos	Serviços
8230-0/02	Organização de Eventos	Serviços
8291-1/00	Serviços de Cobranças e Informações Cadastrais	Serviços
8292-0/00	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/01	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/02	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/03	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/04	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/05	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/06	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/07	Serviços de Cobranças e Informações Cadastrais	Serviços
8299-7/99	Serviços de Cobranças e Informações Cadastrais	Serviços
8411-6/00	Administração Pública	Serviços
8412-4/00	Administração Pública	Serviços
8413-2/00	Administração Pública	Serviços
8421-3/00	Administração Pública	Serviços
8422-1/00	Administração Pública	Serviços
8423-0/00	Administração Pública	Serviços
8424-8/00	Administração Pública	Serviços
8425-6/00	Administração Pública	Serviços
8430-2/00	Administração Pública	Serviços
8511-2/00	Educação	Serviços
8512-1/00	Educação	Serviços
8513-9/00	Educação	Serviços
8520-1/00	Educação	Serviços
8531-7/00	Educação	Serviços
8532-5/00	Educação	Serviços
8533-3/00	Educação	Serviços
8541-4/00	Educação	Serviços
8542-2/00	Educação	Serviços
8550-3/01	Educação	Serviços
8550-3/02	Educação	Serviços
8591-1/00	Educação	Serviços
8592-9/01	Educação	Serviços
8592-9/02	Educação	Serviços
8592-9/03	Educação	Serviços
8592-9/99	Educação	Serviços
8593-7/00	 Educação                                 	Serviços
8599-6/01	 Educação                                 	Serviços
8599-6/02	 Educação                                 	Serviços
8599-6/03	 Educação                                 	Serviços
8599-6/04	 Educação                                 	Serviços
8599-6/05	 Educação                                 	Serviços
8599-6/99	 Educação                                 	Serviços
8610-1/01	 Saúde                                    	Serviços
8610-1/02	 Saúde                                    	Serviços
8621-6/01	 Saúde                                    	Serviços
